id,num_arrondissement
1196461,12101
1196458,12102
1196479,12103
1196486,12104
1196465,12105
1196478,12106
1196490,12107
1196639,3101
1196696,3102
1196700,3104
1196643,3103
1196682,3105
1196607,3106
1196641,3107
1196638,3108
1196620,3109
1196502,11101
1196539,11102
1196417,11103
1196482,11104
1196423,11105
1196531,11106
1196442,10101
1196635,10102
1196685,10103
1196637,10104
1196677,10105
1196640,10106
1196589,10201
1196572,10202
1196571,10203
1196600,10204
1196594,10205
1196615,10206
1196582,10207
1196606,10208
1196504,12201
1196489,12202
1196508,12203
1196506,12204
1196518,12205
1196500,12206
1196501,12207
1196512,12208
1196488,12209
1196521,12210
1196437,10301
1196642,10302
1196713,10303
1196434,10401
1196701,10402
1196624,10403
1196443,10404
1196617,10405
1196604,3201
1196579,3202
1196602,3203
1196588,3204
1196609,3205
1196593,3206
1196574,3207
1196614,3208
1196591,3209
1196618,3210
1196610,3211
1196601,3212
1196525,6101
1196402,6102
1196421,6103
1196499,6104
1196491,6105
1196514,6106
1196462,6107
1196595,9101
1196706,9102
1196631,9103
1196619,9104
1196699,9105
1196436,10501
1196708,10502
1196698,10503
1196703,10504
1196630,10505
1196439,10506
1196435,10507
1196195,1101
1196197,1102
1196193,1103
1196194,1104
1196199,1105
1196192,1106
1196190,1107
1196198,1108
1196196,1109
1196191,1110
1196356,5101
1196675,5102
1196690,5103
1196354,5104
1196351,5105
1196359,5106
1196355,5108
1196352,5107
1196344,5109
1196272,7101
1196270,7102
1196269,7103
1196271,7104
1196240,4101
1196243,4102
1196241,4103
1196242,4104
1196239,4105
1196475,12301
1196459,12302
1196484,12303
1196485,12304
1196470,12305
1196460,12306
1196483,12307
1196447,12308
1196487,12309
1196480,12310
1196556,10601
1196544,10602
1196530,10603
1196427,10604
1196565,10605
1196599,9201
1196577,9202
1196627,9203
1196585,9204
1196613,9205
1196705,9206
1196583,9207
1196336,2101
1196339,2102
1196338,2103
1196335,2104
1196340,2105
1196337,2106
1196341,2107
1196333,2201
1196332,2202
1196331,2203
1196334,2204
1196724,9301
1196712,9302
1196723,9303
1196676,9304
1196721,9305
1196293,7201
1196294,7202
1196291,7203
1196292,7204
1196655,8101
1196657,8110
1196662,8111
1196666,8112
1196659,8113
1196653,8102
1196651,8103
1196663,8104
1196667,8105
1196649,8106
1196661,8107
1196658,8108
1196647,8109
1196466,12401
1196469,12402
1196401,12403
1196468,12404
1196477,12405
1196456,12406
1196467,12407
1196457,12408
1196691,10701
1196707,10702
1196622,10703
1196689,10704
1196433,10705
1196695,10706
1196626,10707
1196388,5201
1196389,5202
1196728,5203
1196387,5204
1196727,5206
1196391,5207
1196380,5205
1196394,5208
1196385,5209
1196392,5210
1196561,6201
1196426,6202
1196541,6203
1196537,6204
1196551,6205
1196422,6206
1196532,6207
1196548,6208
1196554,6209
1196535,6210
1196414,12501
1196398,12502
1196409,12503
1196404,12504
1196453,12505
1196408,12506
1196399,12507
1196397,12509
1196451,12508
1196450,12510
1196400,12511
1196411,12512
1196278,7301
1196282,7302
1196283,7303
1196273,7304
1196281,7305
1196279,7306
1196280,7307
1196284,7308
1196275,7309
1196277,7310
1196274,7311
1196276,7312
1196568,6301
1196573,6302
1196581,6303
1196563,6304
1196557,6305
1196566,6306
1196559,6307
1196350,5301
1196358,5302
1196373,5303
1196381,5304
1196375,5305
1196371,5306
1196366,5307
1196383,5308
1196368,5309
1196376,5310
1196205,1201
1196202,1202
1196204,1203
1196200,1204
1196203,1205
1196201,1206
1196656,9401
1196674,9402
1196672,9403
1196646,9404
1196665,9405
1196673,9406
1196715,9407
1196710,9501
1196616,9502
1196709,9503
1196621,9504
1196438,9505
1196704,9506
1196612,11201
1196702,11202
1196592,11203
1196625,11204
1196597,11205
1196697,11206
1196231,4201
1196227,4202
1196226,4203
1196228,4204
1196230,4205
1196229,4206
1196215,1301
1196209,1302
1196213,1303
1196214,1304
1196208,1305
1196210,1306
1196207,1307
1196212,1308
1196206,1309
1196211,1310
1196185,1401
1196187,1402
1196186,1403
1196188,1404
1196189,1405
1196304,2301
1196306,2302
1196305,2304
1196307,2303
1196395,11301
1196396,11302
1196406,11303
1196407,11304
1196410,11305
1196405,11306
1196493,6401
1196510,6402
1196418,6403
1196519,6404
1196522,6405
1196520,6406
1196476,6407
1196415,6408
1196299,2401
1196298,2402
1196302,2403
1196303,2404
1196301,2405
1196300,2406
1196678,3301
1196652,3302
1196644,3303
1196629,3304
1196692,3305
1196684,3306
1196633,3307
1196718,3308
1196632,3309
1196552,6501
1196567,6502
1196540,6503
1196419,6504
1196420,6505
1196529,6506
1196527,6507
1196543,6508
1196533,6509
1196555,6510
1196524,6511
1196586,9601
1196608,9602
1196578,9603
1196598,9604
1196596,9605
1196218,1501
1196217,1502
1196216,1503
1196219,1504
1196220,1505
1196316,2501
1196317,2502
1196314,2503
1196313,2504
1196318,2505
1196315,2506
1196252,4301
1196248,4302
1196250,4303
1196251,4304
1196249,4305
1196330,2601
1196326,2602
1196323,2603
1196327,2607
1196329,2608
1196325,2609
1196328,2604
1196324,2605
1196322,2606
1196234,4401
1196238,4402
1196236,4403
1196237,4404
1196235,4405
1196233,4406
1196289,7401
1196287,7402
1196288,7403
1196286,7404
1196285,7405
1196290,7406
1196266,2701
1196267,2702
1196268,2703
1196296,5401
1196295,5402
1196297,5403
1196348,5404
1196353,5405
1196342,5406
1196346,5407
1196345,5408
1196369,5409
1196347,3401
1196349,3402
1196343,3403
1196670,3404
1196671,3407
1196711,3408
1196669,3409
1196668,3410
1196660,3405
1196654,3406
1196664,12601
1196719,12602
1196714,12603
1196517,12604
1196492,4501
1196474,4502
1196516,4503
1196253,4601
1196256,4602
1196254,4603
1196255,4604
1196257,4605
1196258,4606
1196515,11401
1196505,11402
1196472,11403
1196526,11404
1196471,11405
1196680,10801
1196686,10802
1196683,10803
1196441,10804
1196634,10805
1196538,11501
1196550,11502
1196576,11503
1196570,11504
1196605,11505
1196584,11506
1196390,5504
1196367,5505
1196386,5506
1196365,5507
1196364,5508
1196393,5509
1196725,5510
1196726,5511
1196360,5513
1196372,5512
1196377,5501
1196378,5502
1196374,5503
1196382,5514
1196730,5601
1196379,5602
1196370,5603
1196357,5604
1196361,5608
1196363,5605
1196729,5606
1196362,5607
1196221,1601
1196224,1602
1196225,1603
1196223,1604
1196222,1605
1196648,10902
1196716,10903
1196717,10904
1196645,10905
1196650,10906
1196722,10907
1196244,4701
1196247,4702
1196245,4704
1196246,4703
1196628,3501
1196636,3502
1196720,3503
1196681,3504
1196440,3505
1196445,3506
1196679,3507
1196310,2801
1196308,2802
1196309,2803
1196311,2804
1196312,2805
1196261,4801
1196265,4802
1196260,4803
1196264,4804
1196263,4805
1196259,4806
1196262,4807
1196560,3601
1196564,3602
1196428,3603
1196547,3604
1196569,3605
1196546,3606
1196425,3607
1196575,3608
1196545,3609
1196431,3610
1196693,3701
1196424,3703
1196694,3702
1196432,3704
1196688,3705
1196444,3706
1196321,2901
1196319,2902
1196320,2903
1196528,6601
1196534,6602
1196549,6603
1196430,6604
1196429,6605
1196542,6606
1196536,6607
1196481,12801
1196448,12802
1196464,12803
1196384,12804
1196463,12805
1196449,12806
1196413,12807
1196455,12808
1196452,12701
1196403,12702
1196412,12703
1196473,12704
1196446,12705
1196454,12706
1196603,3801
1196587,3802
1196416,3803
1196611,3804
1196562,3805
1196558,3806
1196590,3807
1196553,3808
1196687,3809
1196623,3810
1196580,3811
1196523,12901
1196496,12902
1196498,12903
1196495,12904
1196494,12905
1196497,12907
1196511,12908
1196513,12906
1196509,12909
1196503,12910
1196507,12911
